                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.94166,                 1.2035,                 1.2382,                0.73364,                0.70617,                 0.7467,                0.39726,                 1.5988,                0.99513,                 1.6316,             0.00067104,             0.00067104,             0.00067104
                     34,                0.93631,                  1.201,                 1.2398,                0.71369,                0.70124,                0.72213,                0.39776,                    1.6,                   1.06,                 1.6654,              0.0006573,              0.0006573,              0.0006573
                     35,                0.91978,                 1.1815,                 1.2274,                0.73095,                0.74426,                0.77047,                0.41238,                 1.6027,                0.98353,                 1.6465,             0.00064355,             0.00064355,             0.00064355
                     36,                0.92557,                 1.1728,                 1.2317,                0.73998,                0.76693,                0.77233,                0.40742,                 1.5843,                0.97543,                 1.6458,              0.0006298,              0.0006298,              0.0006298
                     37,                0.91233,                  1.165,                  1.226,                0.73938,                0.71021,                 0.7613,                0.40425,                 1.5959,                 1.0209,                 1.6414,             0.00061605,             0.00061605,             0.00061605
                     38,                0.90559,                 1.1571,                 1.2223,                0.73512,                0.71728,                0.76656,                0.41817,                 1.5422,                  1.006,                 1.6176,              0.0006023,              0.0006023,              0.0006023
                     39,                0.90556,                 1.1455,                 1.2121,                0.74975,                0.70389,                0.76225,                0.40697,                 1.5749,                0.97091,                 1.6179,             0.00058855,             0.00058855,             0.00058855
                     40,                0.88993,                 1.1216,                 1.2016,                0.74438,                0.76047,                0.78117,                0.43158,                  1.555,                0.91117,                  1.609,              0.0005748,              0.0005748,              0.0005748
                     41,                0.88534,                 1.1209,                 1.2054,                0.75535,                0.74189,                0.77977,                0.42959,                 1.5718,                0.95826,                 1.6191,             0.00056105,             0.00056105,             0.00056105
                     42,                0.87859,                 1.1284,                 1.2025,                0.77345,                0.76706,                0.78717,                 0.4238,                  1.574,                0.92438,                 1.6212,             0.00054731,             0.00054731,             0.00054731
                     43,                0.87849,                 1.0995,                 1.1948,                0.76174,                0.71685,                0.77157,                 0.4288,                 1.5672,                0.93064,                 1.6264,             0.00053356,             0.00053356,             0.00053356
                     44,                0.86806,                 1.0931,                 1.1916,                0.79979,                0.70195,                 0.7696,                0.42128,                 1.5832,                0.95427,                 1.6588,             0.00051981,             0.00051981,             0.00051981
                     45,                 0.8556,                  1.077,                 1.1784,                0.75953,                0.73798,                0.76187,                0.42884,                 1.5505,                0.94912,                 1.6044,             0.00050606,             0.00050606,             0.00050606
                     46,                0.85471,                  1.069,                 1.1855,                0.76534,                0.77209,                0.77681,                0.43487,                 1.5499,                0.90503,                 1.6219,             0.00049231,             0.00049231,             0.00049231
                     47,                 0.8582,                 1.0728,                 1.1806,                0.79205,                0.71947,                0.77067,                 0.4228,                 1.5536,                0.93313,                 1.6456,             0.00047856,             0.00047856,             0.00047856
                     48,                 0.8412,                 1.0557,                 1.1774,                0.80208,                0.71192,                0.77524,                0.43223,                 1.5625,                 0.9627,                 1.6341,             0.00046481,             0.00046481,             0.00046481
                     49,                0.84229,                 1.0497,                  1.175,                0.81239,                0.74115,                0.78158,                0.43161,                 1.5826,                0.94368,                 1.6427,             0.00045107,             0.00045107,             0.00045107
                     50,                0.82692,                 1.0319,                  1.169,                  0.783,                 0.7391,                0.78103,                0.43105,                 1.5431,                0.91714,                 1.6123,             0.00043732,             0.00043732,             0.00043732
                     51,                0.82294,                 1.0146,                 1.1583,                0.74874,                0.77352,                0.79307,                0.43824,                 1.5667,                0.91634,                 1.6337,             0.00042357,             0.00042357,             0.00042357
                     52,                0.82983,                 1.0104,                 1.1648,                0.76369,                0.76416,                0.80019,                0.45226,                 1.5281,                0.87346,                 1.6008,             0.00040982,             0.00040982,             0.00040982
                     53,                0.81641,                 0.9901,                  1.151,                0.82205,                0.74398,                0.78739,                0.43065,                 1.5635,                0.93504,                 1.6128,             0.00039607,             0.00039607,             0.00039607
                     54,                0.80441,                0.98516,                 1.1492,                0.82531,                0.76853,                 0.8102,                0.45514,                 1.5207,                0.87616,                 1.5969,             0.00038232,             0.00038232,             0.00038232
                     55,                0.79453,                  0.966,                 1.1482,                0.79572,                0.76991,                0.80856,                0.44524,                 1.5317,                 0.8765,                 1.6263,             0.00036857,             0.00036857,             0.00036857
